
--- Job Balmorel.gms Start 09/03/20 18:06:27 26.1.0 rf2b37b9 WEX-WEI x86 64bit/MS Windows
GAMS 26.1.0   Copyright (C) 1987-2019 GAMS Development. All rights reserved
Licensee: Small MUD - 5 User License                     S190709/0001AO-WIN
          TU Wien, Energy Economics Group                           DC14452
          License for teaching and research at degree granting institutions
          License Admin: Albert Hiesl, hiesl@eeg.tuwien.ac.at              
--- Starting compilation
--- Balmorel.gms(42) 2 Mb
--- . ../../base/model/balgams.opt(156) 2 Mb
--- Balmorel.gms(49) 2 Mb
--- . ../../base/model/balopt.opt(762) 2 Mb
--- Balmorel.gms(99) 2 Mb
--- . ../../base/logerror/logerinc/error1.inc(44) 2 Mb
--- .. ../../base/addons/_hooks/hellolog.inc(117) 2 Mb
--- . ../../base/logerror/logerinc/error1.inc(56) 2 Mb
--- Balmorel.gms(119) 2 Mb
--- . ../../base/model/Balmorelbb4.inc(401) 2 Mb
--- .. ../../base/model/bb4datainc.inc(29) 2 Mb
--- ... ../data/CCCRRRAAA.inc(125) 3 Mb
--- .. ../../base/model/bb4datainc.inc(34) 3 Mb
--- ... ../data/CCC.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(39) 3 Mb
--- ... ../data/RRR.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(44) 3 Mb
--- ... ../data/AAA.inc(58) 3 Mb
--- .. ../../base/model/bb4datainc.inc(49) 3 Mb
--- ... ../data/CCCRRR.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(54) 3 Mb
--- ... ../data/RRRAAA.inc(58) 3 Mb
--- .. ../../base/model/bb4datainc.inc(59) 3 Mb
--- ... ../data/C.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(86) 3 Mb
--- ... ../data/YYY.inc(2) 3 Mb
--- .. ../../base/model/bb4datainc.inc(91) 3 Mb
--- ... ../data/SSS.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(96) 3 Mb
--- ... ../data/TTT.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(101) 3 Mb
--- ... ../data/DEUSER.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(106) 3 Mb
--- ... ../data/DHUSER.inc(2) 3 Mb
--- .. ../../base/model/bb4datainc.inc(111) 3 Mb
--- ... ../data/FFF.inc(114) 3 Mb
--- .. ../../base/model/bb4datainc.inc(116) 3 Mb
--- ... ../data/FDATASET.inc(9) 3 Mb
--- .. ../../base/model/bb4datainc.inc(121) 3 Mb
--- ... ../data/FDATA.inc(96) 3 Mb
--- .. ../../base/model/bb4datainc.inc(126) 3 Mb
--- ... ../data/GGG.inc(229) 3 Mb
--- .. ../../base/model/bb4datainc.inc(131) 3 Mb
--- ... ../data/GDATASET.inc(58) 3 Mb
--- .. ../../base/model/bb4datainc.inc(136) 3 Mb
--- ... ../data/TECH_GROUP.inc(20) 3 Mb
--- .. ../../base/model/bb4datainc.inc(141) 3 Mb
--- ... ../data/TECH_GROUP_VALUE.inc(20) 3 Mb
--- .. ../../base/model/bb4datainc.inc(147) 3 Mb
--- ... ../../base/data/SUBTECH_GROUP.inc(25) 3 Mb
--- .. ../../base/model/bb4datainc.inc(152) 3 Mb
--- ... ../../base/data/SUBTECH_GROUP_VALUE.inc(25) 3 Mb
--- .. ../../base/model/bb4datainc.inc(156) 3 Mb
--- ... ../data/G.inc(196) 3 Mb
--- .. ../../base/model/bb4datainc.inc(165) 3 Mb
--- ... ../../base/addons/_hooks/acronyms.inc(15) 3 Mb
--- .. ../../base/model/bb4datainc.inc(166) 3 Mb
--- ... ../../base/addons/_hooks/setdeclare.inc(36) 3 Mb
--- .. ../../base/model/bb4datainc.inc(167) 3 Mb
--- ... ../../base/addons/_hooks/setdefine.inc(39) 3 Mb
--- .. ../../base/model/bb4datainc.inc(178) 3 Mb
--- ... ../data/GDATA.inc(202) 3 Mb
--- .. ../../base/model/bb4datainc.inc(186) 3 Mb
--- ... ../../base/addons/_hooks/gdataadditions.inc(17) 3 Mb
--- .. ../../base/model/bb4datainc.inc(202) 3 Mb
--- ... ../data/HYRSMAXVOL_G.inc(888) 3 Mb
--- .. ../../base/model/bb4datainc.inc(207) 3 Mb
--- ... ../data/HYRSDATASET.inc(8) 3 Mb
--- .. ../../base/model/bb4datainc.inc(212) 3 Mb
--- ... ../data/DF_QP.inc(5) 3 Mb
--- .. ../../base/model/bb4datainc.inc(217) 3 Mb
--- ... ../data/MPOLSET.inc(9) 3 Mb
--- .. ../../base/model/bb4datainc.inc(223) 3 Mb
--- ... ../data/AGKN.inc(129) 3 Mb
--- .. ../../base/model/bb4datainc.inc(229) 3 Mb
--- ... ../data/Y.inc(6) 3 Mb
--- .. ../../base/model/bb4datainc.inc(238) 3 Mb
--- ... ../data/S.inc(6) 3 Mb
--- .. ../../base/model/bb4datainc.inc(247) 3 Mb
--- ... ../data/T.inc(5) 3 Mb
--- .. ../../base/model/bb4datainc.inc(255) 3 Mb
--- ... ../data/YVALUE.inc(12) 3 Mb
--- .. ../../base/model/bb4datainc.inc(265) 3 Mb
--- ... ../data/TWORKDAY.inc(1) 3 Mb
--- .. ../../base/model/bb4datainc.inc(270) 3 Mb
--- ... ../data/TWEEKEND.inc(1) 3 Mb
--- .. ../../base/model/bb4datainc.inc(390) 3 Mb
--- ... ../data/GKFX.inc(336) 3 Mb
--- .. ../../base/model/bb4datainc.inc(396) 3 Mb
--- ... ../data/FMAXINVEST.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(413) 3 Mb
--- ... ../data/DISLOSS_E.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(418) 3 Mb
--- ... ../data/DISLOSS_H.inc(56) 3 Mb
--- .. ../../base/model/bb4datainc.inc(423) 3 Mb
--- ... ../data/DISCOST_E.inc(34) 3 Mb
--- .. ../../base/model/bb4datainc.inc(428) 3 Mb
--- ... ../data/DISCOST_H.inc(56) 3 Mb
--- .. ../../base/model/bb4datainc.inc(433) 3 Mb
--- ... ../data/FKPOT.inc(40) 3 Mb
--- .. ../../base/model/bb4datainc.inc(438) 3 Mb
--- ... ../data/TECHGROUPKPOT.inc(33) 3 Mb
--- .. ../../base/model/bb4datainc.inc(444) 3 Mb
--- ... ../../base/data/SUBTECHGROUPKPOT.inc(21) 3 Mb
--- .. ../../base/model/bb4datainc.inc(483) 3 Mb
--- ... ../data/FGEMIN.inc(5) 3 Mb
--- .. ../../base/model/bb4datainc.inc(488) 3 Mb
--- ... ../data/FGEMAX.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(494) 3 Mb
--- ... ../data/GMINF.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(500) 3 Mb
--- ... ../data/GMAXF.inc(5) 3 Mb
--- .. ../../base/model/bb4datainc.inc(506) 3 Mb
--- ... ../data/GEQF.inc(4) 3 Mb
--- .. ../../base/model/bb4datainc.inc(511) 3 Mb
--- ... ../data/GMAXFS.inc(6) 3 Mb
--- .. ../../base/model/bb4datainc.inc(523) 3 Mb
--- ... ../data/WTRRSFLH.inc(55) 3 Mb
--- .. ../../base/model/bb4datainc.inc(528) 3 Mb
--- ... ../data/WTRRRFLH.inc(54) 3 Mb
--- .. ../../base/model/bb4datainc.inc(534) 3 Mb
--- ... ../data/WNDFLH.inc(59) 3 Mb
--- .. ../../base/model/bb4datainc.inc(540) 3 Mb
--- ... ../data/SOLEFLH.inc(56) 3 Mb
--- .. ../../base/model/bb4datainc.inc(547) 3 Mb
--- ... ../data/SOLHFLH.inc(54) 3 Mb
--- .. ../../base/model/bb4datainc.inc(553) 3 Mb
--- ... ../data/WAVEFLH.inc(54) 3 Mb
--- .. ../../base/model/bb4datainc.inc(558) 3 Mb
--- ... ../data/HYRSDATA.inc(108) 4 Mb
--- .. ../../base/model/bb4datainc.inc(564) 4 Mb
--- ... ../../base/data/DISCOUNTRATE.inc(2) 4 Mb
--- .. ../../base/model/bb4datainc.inc(569) 4 Mb
--- ... ../../base/data/LIFETIME_X.inc(2) 4 Mb
--- .. ../../base/model/bb4datainc.inc(573) 4 Mb
--- ... ../data/ANNUITYCG.inc(6) 4 Mb
--- .. ../../base/model/bb4datainc.inc(578) 4 Mb
--- ... ../data/ANNUITYCX.inc(6) 4 Mb
--- .. ../../base/model/bb4datainc.inc(583) 4 Mb
--- ... ../data/GINVCOST.inc(3) 4 Mb
--- .. ../../base/model/bb4datainc.inc(589) 4 Mb
--- ... ../../base/data/GOMVCOSTO.inc(6) 4 Mb
--- .. ../../base/model/bb4datainc.inc(594) 4 Mb
--- ... ../../base/data/GOMVCOSTIN.inc(6) 4 Mb
--- .. ../../base/model/bb4datainc.inc(598) 4 Mb
--- ... ../data/GOMFCOST.inc(7) 4 Mb
--- .. ../../base/model/bb4datainc.inc(603) 4 Mb
--- ... ../data/GEFFRATE.inc(5) 4 Mb
--- .. ../../base/model/bb4datainc.inc(608) 4 Mb
